"","q1s","q2s","q3s","q4s","q5s","q6s"
"1",2.61538461538462,3.11111111111111,2.09090909090909,3,2.8,1
"2",2,2.55555555555556,1.72727272727273,3.71428571428571,4,3.625
"3",2.61538461538462,3,2.09090909090909,3.57142857142857,1,1.875
"4",2.84615384615385,3.11111111111111,2.72727272727273,4,1.9,1
"5",2.30769230769231,2,2.18181818181818,4,2.9,1
"6",3.92307692307692,4.33333333333333,4,3.42857142857143,1.5,1.375
"7",2.84615384615385,3,2.90909090909091,4,2.2,3
"8",2.30769230769231,2.55555555555556,2.18181818181818,3,2.2,3
"9",3.15384615384615,2.88888888888889,3,4,1,1
"10",3.23076923076923,3.55555555555556,3,5,2,2.5
"11",2.76923076923077,2.77777777777778,2.36363636363636,3.85714285714286,2.1,3.125
"12",2.61538461538462,4,3.27272727272727,4,3,4
"13",2.61538461538462,3,1.54545454545455,2.85714285714286,3,3
"14",3,3,3,2.57142857142857,1.4,4.5
"15",2.23076923076923,2.11111111111111,1,1,2.9,2.25
"16",2.46153846153846,3.77777777777778,3.45454545454545,2,1.1,3.625
"17",2.46153846153846,2,2.09090909090909,3.14285714285714,1.1,1
"18",2.61538461538462,4.88888888888889,2.09090909090909,2,1,3
"19",2.61538461538462,3,2.18181818181818,3,2,3
"20",3.53846153846154,4,2.72727272727273,3.85714285714286,1,3
"21",2.30769230769231,2.11111111111111,2.36363636363636,4,2.5,1.25
"22",2.61538461538462,3.55555555555556,1.18181818181818,5,2.7,1
"23",3.07692307692308,2.22222222222222,2,3,1,3
"24",2.69230769230769,2.77777777777778,2.18181818181818,4.14285714285714,3.4,3
"25",1.38461538461538,3.77777777777778,4.45454545454545,4,3.4,1
"26",1.84615384615385,3,2.18181818181818,5,1,2
"27",4,4.55555555555556,3.81818181818182,5,3.9,1
"28",3.46153846153846,3.55555555555556,3.18181818181818,4.57142857142857,3.6,1.75
"29",1.15384615384615,3,3.90909090909091,3.42857142857143,3.2,1
"30",1.38461538461538,2.77777777777778,1.72727272727273,4.42857142857143,2.3,3
"31",2.61538461538462,3.44444444444444,2.27272727272727,5,1.8,2.875
"32",3.69230769230769,5,3.81818181818182,4.71428571428571,3.4,1.5
"33",1.53846153846154,2,2.27272727272727,5,2.8,1
"34",3.61538461538462,4,3.45454545454545,4.42857142857143,3.8,1.5
"35",3.46153846153846,3.55555555555556,3.90909090909091,4.28571428571429,3.6,2.625
"36",2.46153846153846,3.11111111111111,2.36363636363636,3.28571428571429,1,1
"37",3.23076923076923,4,2.72727272727273,3.42857142857143,3.2,1
"38",1,2.11111111111111,1.18181818181818,3,1.5,3
"40",3,4.66666666666667,2.72727272727273,4.42857142857143,1,3.125
"41",1,3,3.18181818181818,3,2.4,1.25
"42",3.92307692307692,3.77777777777778,3.54545454545455,1,1,2.375
"43",2.23076923076923,3.44444444444444,2.45454545454545,3,1.2,3.875
"44",1.30769230769231,1.33333333333333,1,5,2,3
"45",1.92307692307692,4,3.27272727272727,1,2.5,2.875
"46",2.53846153846154,4.22222222222222,2.09090909090909,4.71428571428571,2.2,1.625
"47",2.46153846153846,2,3.09090909090909,3,1,1.125
"48",3.38461538461538,3.88888888888889,3.54545454545455,2,3,2.125
"50",1,1,1,5,1,1
"51",2.84615384615385,2.88888888888889,1.63636363636364,3,3.3,1.25
"52",2,2.55555555555556,2,3.57142857142857,2.1,1.5
"53",3.38461538461538,2.88888888888889,3.18181818181818,3.28571428571429,3.2,3
"54",3.23076923076923,2.77777777777778,3.09090909090909,3,1.9,1.75
"55",2.69230769230769,4,2.36363636363636,4,2.8,1
"56",3.23076923076923,5,3.18181818181818,4.42857142857143,2.5,2.125
"57",2.38461538461538,3.33333333333333,3.18181818181818,4.14285714285714,3.1,1.375
"58",3.30769230769231,2.22222222222222,3,1,1,1
"59",2.92307692307692,3,3,4,2,3
"60",2.92307692307692,3,3,4,3.8,3.125
"61",3.30769230769231,3.66666666666667,3,3,4,3.875
"62",3.46153846153846,4.22222222222222,3.72727272727273,4.85714285714286,3.5,3.25
"63",3.38461538461538,5,3.54545454545455,2.14285714285714,2,2
"64",3.76923076923077,4.22222222222222,3.54545454545455,3.28571428571429,2.9,2.125
"65",2.46153846153846,2.44444444444444,3,3.85714285714286,2.6,3
"66",2.30769230769231,4,2.54545454545455,3,1,1
"67",3.61538461538462,3.66666666666667,3.90909090909091,4,2.7,2.625
"68",1.92307692307692,1,2,4,4,3
"69",2.38461538461538,3,1.54545454545455,1,1,1
"70",1.46153846153846,3.22222222222222,2.90909090909091,4,2,2.125
"71",3.23076923076923,3.88888888888889,3,4,1.6,1.375
"72",1.69230769230769,1,1,4,3,3
"73",2.23076923076923,4.22222222222222,1.90909090909091,3.71428571428571,3,3
"74",1,4,1,3,1,3
"75",1.61538461538462,1.55555555555556,2.36363636363636,4.42857142857143,2.2,1.125
"76",2.76923076923077,3.66666666666667,2.45454545454545,3,2.4,1.75
"77",2.76923076923077,2.88888888888889,2.09090909090909,3,1.7,2
"79",1.84615384615385,5,1.63636363636364,4.57142857142857,5,2.25
"80",2,1,1.72727272727273,1,1,1
